Reconstruction Loss: 0.060354363173246384, KLD Loss: -35.213035583496094
Reconstruction Loss: 0.06347312033176422, KLD Loss: -35.141929626464844
Reconstruction Loss: 0.06084715574979782, KLD Loss: -28.2706241607666
Reconstruction Loss: 0.062434788793325424, KLD Loss: -22.903953552246094
Reconstruction Loss: 0.06524217128753662, KLD Loss: -22.951370239257812
Reconstruction Loss: 0.0650252029299736, KLD Loss: -21.53590202331543
Reconstruction Loss: 0.06324629485607147, KLD Loss: -16.105056762695312
Reconstruction Loss: 0.0694379210472107, KLD Loss: -24.42111587524414
Reconstruction Loss: 0.06319695711135864, KLD Loss: -32.8759765625
Reconstruction Loss: 0.060961030423641205, KLD Loss: -28.091367721557617
Reconstruction Loss: 0.06017083674669266, KLD Loss: -21.122493743896484
Reconstruction Loss: 0.05427270755171776, KLD Loss: -18.7249755859375
Reconstruction Loss: 0.06035942956805229, KLD Loss: -19.779346466064453
Reconstruction Loss: 0.05847972631454468, KLD Loss: -20.644615173339844
Reconstruction Loss: 0.05526863783597946, KLD Loss: -23.39850616455078
Reconstruction Loss: 0.06320564448833466, KLD Loss: -25.44228744506836
Reconstruction Loss: 0.057398296892642975, KLD Loss: -28.564416885375977
Reconstruction Loss: 0.057835549116134644, KLD Loss: -27.25468635559082
Reconstruction Loss: 0.06144387647509575, KLD Loss: -20.93213653564453
Reconstruction Loss: 0.06106693297624588, KLD Loss: -16.881736755371094
Reconstruction Loss: 0.05709617957472801, KLD Loss: -22.692447662353516
Reconstruction Loss: 0.056815676391124725, KLD Loss: -22.02406883239746
Reconstruction Loss: 0.05758948251605034, KLD Loss: -21.50226593017578
Reconstruction Loss: 0.06180790066719055, KLD Loss: -19.836009979248047
Reconstruction Loss: 0.05970730632543564, KLD Loss: -20.645357131958008
Reconstruction Loss: 0.060023706406354904, KLD Loss: -24.25445556640625
Reconstruction Loss: 0.05303835868835449, KLD Loss: -26.156814575195312
Reconstruction Loss: 0.05783311277627945, KLD Loss: -24.530906677246094
Reconstruction Loss: 0.0615101084113121, KLD Loss: -27.873266220092773
Reconstruction Loss: 0.05646539852023125, KLD Loss: -28.182308197021484
Reconstruction Loss: 0.05416329950094223, KLD Loss: -30.442289352416992
Reconstruction Loss: 0.05448459833860397, KLD Loss: -22.782684326171875
Reconstruction Loss: 0.060563474893569946, KLD Loss: -15.342249870300293
Reconstruction Loss: 0.057829849421978, KLD Loss: -15.26624584197998
Reconstruction Loss: 0.04971045255661011, KLD Loss: -26.01221466064453
Reconstruction Loss: 0.05530490726232529, KLD Loss: -29.640613555908203
Reconstruction Loss: 0.05410291254520416, KLD Loss: -25.877243041992188
Reconstruction Loss: 0.04867956042289734, KLD Loss: -22.858400344848633
Reconstruction Loss: 0.05690121278166771, KLD Loss: -24.145858764648438
Reconstruction Loss: 0.05486351251602173, KLD Loss: -28.07681655883789
Reconstruction Loss: 0.054431647062301636, KLD Loss: -22.37545394897461
Reconstruction Loss: 0.05654820799827576, KLD Loss: -21.42072105407715
Reconstruction Loss: 0.06262391060590744, KLD Loss: -21.95686149597168
Reconstruction Loss: 0.051182858645915985, KLD Loss: -24.087718963623047
Reconstruction Loss: 0.0536002442240715, KLD Loss: -21.3718318939209
Reconstruction Loss: 0.05745120346546173, KLD Loss: -23.21875762939453
Reconstruction Loss: 0.05370622128248215, KLD Loss: -18.551584243774414
