,0
0,0.3216426
1,0.15298231
2,0.19395301
3,0.22939658
4,0.2351505
5,0.16761455
6,0.11683457
7,0.10439031
8,0.10435228
9,0.10286707
10,0.094046675
11,0.12445867
12,0.10417104
13,0.1106672
14,0.09314629
15,0.08803033
16,0.08411819
17,0.08259477
18,0.0826188
19,0.08034122
20,0.07762933
21,0.10787268
22,0.10908215
23,0.0885198
24,0.077739194
25,0.08062948
26,0.0791825
27,0.078653626
28,0.07815513
29,0.08758774
30,0.08240667
31,0.07905063
32,0.08769493
33,0.08346236
34,0.082198784
35,0.08028874
36,0.072685935
37,0.076800555
38,0.07272472
39,0.081383884
40,0.08585444
41,0.07520963
42,0.08045404
43,0.07091154
44,0.07504982
45,0.07060069
46,0.07413136
47,0.07699802
48,0.07452865
49,0.06871118
50,0.06960301
51,0.06934362
52,0.077713385
53,0.084185734
54,0.0668346
55,0.07542239
56,0.07272264
57,0.07015661
58,0.07540237
59,0.07199372
60,0.073086604
61,0.06914439
62,0.065582216
63,0.07227986
64,0.0708801
65,0.07319492
66,0.062526815
67,0.06957894
68,0.07123649
69,0.064173214
70,0.06556745
71,0.063831784
72,0.067433275
73,0.064975455
74,0.06648971
75,0.068645895
76,0.06208697
77,0.05980681
78,0.06293145
79,0.06295377
80,0.07095243
81,0.06519508
82,0.06327756
83,0.0649896
84,0.06418002
85,0.06706098
86,0.06484294
87,0.069933854
88,0.065511554
89,0.06047958
90,0.0647137
91,0.062247884
92,0.06515048
93,0.065318376
94,0.06212495
95,0.05948966
96,0.07075551
97,0.0655516
98,0.061478194
99,0.06168535
100,0.05484494
101,0.06220211
102,0.057920318
103,0.054651342
104,0.061003756
105,0.056970906
106,0.05735105
107,0.060429305
108,0.06066915
109,0.05398175
110,0.05905109
111,0.057245106
112,0.061152633
113,0.062219884
114,0.06472707
115,0.055581283
116,0.05860907
117,0.05728221
118,0.056877464
119,0.05593562
120,0.061484277
121,0.05949093
122,0.057914086
123,0.053447463
124,0.06284254
125,0.056156375
126,0.05010987
127,0.058377326
128,0.054762863
129,0.059350885
130,0.057788502
131,0.060775496
132,0.0553057
133,0.055281267
134,0.06049062
135,0.056541767
136,0.05683617
137,0.058237113
138,0.056432687
139,0.05988596
140,0.05393531
141,0.05786289
142,0.054297984
143,0.05397951
144,0.059491914
145,0.054789912
146,0.05180677
147,0.054283142
148,0.056891005
149,0.04917556
150,0.052843638
151,0.05269958
152,0.053532712
153,0.05549639
154,0.055727355
155,0.055990458
156,0.04851722
157,0.051706582
158,0.053050756
159,0.0562572
160,0.05330108
161,0.047492247
162,0.054886755
163,0.04800284
164,0.05099253
165,0.05135432
166,0.05822563
167,0.05116477
168,0.0520532
169,0.04773172
170,0.047173806
171,0.04546097
172,0.047449946
173,0.04288475
174,0.047320373
175,0.044739895
176,0.049278267
177,0.047520824
178,0.048642125
179,0.048576202
180,0.046585005
181,0.054667767
182,0.04636824
183,0.045538977
184,0.04256989
185,0.04660065
186,0.041578602
187,0.042011015
188,0.043786056
189,0.04567501
190,0.04780985
191,0.042157046
192,0.044913024
193,0.046173077
194,0.0413147
195,0.0403507
196,0.04484114
197,0.04484933
198,0.04464774
199,0.04145027
200,0.0428348
201,0.044336013
202,0.043382745
203,0.042185407
204,0.046031274
205,0.040274274
206,0.037710574
207,0.04074433
208,0.04044161
209,0.038333487
210,0.041941583
211,0.03868593
212,0.04182662
213,0.043137103
214,0.0390891
215,0.041830704
216,0.040818043
217,0.039237954
218,0.042025164
219,0.04222704
220,0.0450103
221,0.038950015
222,0.03734867
223,0.039928332
224,0.038744032
225,0.037469015
226,0.046447687
227,0.034708686
228,0.04115717
229,0.041366953
230,0.036802527
231,0.037931647
232,0.03999163
233,0.041571986
234,0.039156575
235,0.039539836
236,0.038776465
237,0.04100211
238,0.03829646
239,0.038598403
240,0.034489244
241,0.033122025
242,0.03740621
243,0.039377153
244,0.03933221
245,0.037137374
246,0.038922384
247,0.034080293
248,0.03308446
249,0.03548956
250,0.03383921
251,0.039632488
252,0.03812619
253,0.031547755
254,0.031694323
255,0.03747406
256,0.032844838
257,0.035601165
258,0.032786377
259,0.034024194
260,0.038157526
261,0.036402468
262,0.034501098
263,0.033393558
264,0.03833707
265,0.035021868
266,0.03765823
267,0.032392632
268,0.030722698
269,0.03373703
270,0.034564745
271,0.029895216
272,0.033797126
273,0.037475757
274,0.03362516
275,0.037068024
276,0.03170068
277,0.035387952
278,0.034017436
279,0.034431756
280,0.029929869
281,0.034311853
282,0.034479216
283,0.03556647
284,0.031867474
285,0.03526897
286,0.034322523
287,0.030686706
288,0.035338197
289,0.034164578
290,0.03691997
291,0.03532965
292,0.033841953
293,0.031589247
294,0.03420178
295,0.032763787
296,0.033159953
297,0.037542038
298,0.02965243
299,0.030633649
300,0.035634235
301,0.02936022
302,0.033162497
303,0.03316562
304,0.039794233
305,0.03229745
306,0.035400584
307,0.0330798
308,0.028941346
309,0.035711296
310,0.03219245
311,0.034949474
312,0.03319823
313,0.030593023
314,0.029848864
315,0.028778639
316,0.03091522
317,0.032321535
318,0.028781082
319,0.030148327
320,0.032323625
321,0.03058377
322,0.030975234
323,0.033491697
324,0.030892452
325,0.033533018
326,0.030687414
327,0.031073153
328,0.03133142
329,0.032521933
330,0.030243915
331,0.029223926
332,0.031519484
333,0.030129513
334,0.03257226
335,0.029507771
336,0.032820165
337,0.028920457
338,0.02704836
339,0.028858176
340,0.02809996
341,0.0280139
342,0.034266867
343,0.030291712
344,0.029021066
345,0.033113275
346,0.028680265
347,0.033170186
348,0.028384564
349,0.03382019
350,0.033172097
351,0.029413074
352,0.033727698
353,0.03006508
354,0.031934705
355,0.02927412
356,0.028491933
357,0.030782308
358,0.030414684
359,0.029805293
360,0.030808238
361,0.029169878
362,0.03050442
363,0.02926804
364,0.027337534
365,0.028424557
366,0.02951698
367,0.031240767
368,0.029605826
369,0.028718304
370,0.033084527
371,0.02667978
372,0.031102754
373,0.031756368
374,0.033920538
375,0.030524004
376,0.031330265
377,0.030249104
378,0.035903983
379,0.028542027
380,0.02742289
381,0.028828388
382,0.029757287
383,0.030192893
384,0.030686196
385,0.030553874
386,0.027619313
387,0.028030243
388,0.030869639
389,0.031838626
390,0.027577799
391,0.029464934
392,0.031937554
393,0.025024548
394,0.027697459
395,0.031494137
396,0.029110117
397,0.027539756
398,0.029849172
399,0.029480008
400,0.02928926
401,0.029716253
402,0.02725332
403,0.029109685
404,0.031489857
405,0.030959442
406,0.028766988
407,0.028448692
408,0.029192157
409,0.02856548
410,0.031736996
411,0.028740041
412,0.030424628
413,0.02660205
414,0.0264543
415,0.030117001
416,0.027029216
417,0.028845277
418,0.028611198
419,0.028750032
420,0.030032512
421,0.027363777
422,0.029146075
423,0.028375626
424,0.028217893
425,0.025819412
426,0.025926542
427,0.027127769
428,0.026663981
429,0.028104443
430,0.028302211
431,0.028301116
432,0.025732249
433,0.026720133
434,0.025249219
435,0.027172092
436,0.026335567
437,0.029363729
438,0.028600797
439,0.02481693
440,0.028891254
441,0.028895166
442,0.026399508
443,0.026779091
444,0.027800135
445,0.02892903
446,0.0272179
447,0.026404409
448,0.028126791
449,0.029461976
450,0.026314355
451,0.027604198
452,0.026426114
453,0.028602451
454,0.02474041
455,0.028251246
456,0.027454332
457,0.025898486
458,0.028506948
459,0.02519558
460,0.0274692
461,0.030600548
462,0.027113413
463,0.025818713
464,0.02846612
465,0.025206197
466,0.026786696
467,0.026673384
468,0.027640393
469,0.027422883
470,0.025040057
471,0.030711357
472,0.026805818
473,0.027850857
474,0.025451845
475,0.02620539
476,0.02548269
477,0.027523674
478,0.02828458
479,0.028246846
480,0.026580542
481,0.024310594
482,0.030208422
483,0.028097993
484,0.025560502
485,0.025479263
486,0.024282744
487,0.026436513
488,0.0250464
489,0.028502658
490,0.026413497
491,0.028028173
492,0.026206514
493,0.024898237
494,0.027202245
495,0.02780224
496,0.02939122
497,0.026693102
498,0.025562149
499,0.025658607
500,0.027191048
501,0.026510939
502,0.025921684
503,0.023734583
504,0.02569989
505,0.026846757
506,0.027101435
507,0.02813374
508,0.028607002
509,0.03158462
510,0.02606034
511,0.026958581
512,0.029446658
513,0.027599012
514,0.02821162
515,0.033145078
516,0.02385596
517,0.025531258
518,0.026546067
519,0.026308715
520,0.024593687
521,0.026449038
522,0.02624951
523,0.023505487
524,0.028374454
525,0.025149576
526,0.025530975
527,0.02501762
528,0.026298162
529,0.025467355
530,0.027118316
531,0.025469895
532,0.027276486
533,0.029239012
534,0.02747403
535,0.023000509
536,0.02564465
537,0.028651875
538,0.02551189
539,0.02500343
540,0.022869159
541,0.02517604
542,0.025923645
543,0.027637979
544,0.025232375
545,0.024784347
546,0.02932322
547,0.026719492
548,0.027514381
549,0.02747399
550,0.027135
551,0.028687742
552,0.025638778
553,0.024699738
554,0.026186064
555,0.027812323
556,0.025348788
557,0.028195824
558,0.02554943
559,0.024826732
560,0.023955911
561,0.027922519
562,0.025689676
563,0.025439303
564,0.029337367
565,0.027084097
566,0.024455307
567,0.025522089
568,0.025682341
569,0.026162561
570,0.02642036
571,0.02826724
572,0.023907362
573,0.026932735
574,0.025765534
575,0.027469432
576,0.026158622
577,0.025634166
578,0.027088886
579,0.028137347
580,0.024004858
581,0.026572645
582,0.027683314
583,0.026476383
584,0.02538689
585,0.023800133
586,0.024466507
587,0.030518692
588,0.025592653
589,0.025838977
590,0.026839212
591,0.02469775
592,0.025293052
593,0.025117083
594,0.0240255
595,0.027195245
596,0.024479931
597,0.023325559
598,0.027632952
599,0.026543468
600,0.023332676
601,0.023980677
602,0.026560135
603,0.025071561
604,0.026715726
605,0.024276268
606,0.029270109
607,0.024905717
608,0.02606995
609,0.02480813
610,0.025770936
611,0.02508527
612,0.026486395
613,0.025701081
614,0.024948781
615,0.024909295
616,0.022860553
617,0.026177596
618,0.027803948
619,0.024563923
620,0.024205338
621,0.023615021
622,0.024197523
623,0.024476703
624,0.024838587
625,0.024801647
626,0.024738288
627,0.024366464
628,0.026932348
629,0.023579922
630,0.027285397
631,0.024769612
632,0.023526741
633,0.026027692
634,0.02407672
635,0.024406359
636,0.029429754
637,0.023501392
638,0.023552965
639,0.025115315
640,0.024765424
641,0.024133254
642,0.02412372
643,0.02297774
644,0.026054755
645,0.024177618
646,0.025501132
647,0.027048394
648,0.02389419
649,0.023767184
650,0.023798555
651,0.024300024
652,0.024546593
653,0.024661807
654,0.026090492
655,0.025615375
656,0.02404442
657,0.023432314
658,0.02410907
659,0.025762435
660,0.022070177
661,0.025143128
662,0.021521442
663,0.0236421
664,0.025283597
665,0.023868939
666,0.024701994
667,0.027294105
668,0.023919953
669,0.023795567
670,0.02265082
671,0.025600791
672,0.028566305
673,0.024289897
674,0.02480122
675,0.023427602
676,0.025578652
677,0.02405576
678,0.02524518
679,0.023348365
680,0.023372572
681,0.024823029
682,0.021280318
683,0.02523157
684,0.022927087
685,0.02496243
686,0.024970938
687,0.02430058
688,0.024514332
689,0.022728793
690,0.022535302
691,0.024802208
692,0.023006674
693,0.023540055
694,0.025483992
695,0.022862947
696,0.024426391
697,0.02408965
698,0.024470193
699,0.024339153
700,0.021899905
701,0.024984105
702,0.023683146
703,0.02485925
704,0.031235974
705,0.025431503
706,0.022361953
707,0.022591703
708,0.025460985
709,0.022963278
710,0.021401715
711,0.025606258
712,0.021427989
713,0.024797712
714,0.023025623
715,0.025270917
716,0.024810297
717,0.02367166
718,0.022452135
719,0.022013173
720,0.02385362
721,0.022981778
722,0.024224376
723,0.0215904
724,0.023119356
725,0.021940848
726,0.024320584
727,0.024672639
728,0.022785088
729,0.021673579
730,0.022378098
731,0.023498518
732,0.024579111
733,0.02313155
734,0.023906887
735,0.022855986
736,0.023291593
737,0.02240267
738,0.02993632
739,0.021369234
740,0.023457548
741,0.022406457
742,0.022571718
743,0.022320703
744,0.02627789
745,0.020107035
746,0.026469618
747,0.025499254
748,0.023896908
749,0.025460219
750,0.02280376
751,0.022919398
752,0.023630783
753,0.025090931
754,0.024113819
755,0.023198111
756,0.025189986
757,0.023266029
758,0.025497368
759,0.022967292
760,0.02230991
761,0.025332605
762,0.024731189
763,0.022330781
764,0.024461593
765,0.021097228
766,0.023526475
767,0.023605814
768,0.024365863
769,0.026785363
770,0.023305278
771,0.023439929
772,0.023083284
773,0.024357341
774,0.025111407
775,0.02294594
776,0.023718944
777,0.026963145
778,0.025819248
779,0.022309761
780,0.025139984
781,0.022670023
782,0.022033993
783,0.023603763
784,0.023488268
785,0.023086403
786,0.025441911
787,0.022217175
788,0.023744605
789,0.02355524
790,0.022663184
791,0.02317991
792,0.023029007
793,0.025168207
794,0.023905095
795,0.024972647
796,0.020872377
797,0.022968054
798,0.025284957
799,0.022607595
800,0.022878563
801,0.023230975
802,0.02282988
803,0.022218209
804,0.02353758
805,0.022422617
806,0.024461357
807,0.024033753
808,0.024167493
809,0.019755047
810,0.023330687
811,0.023995526
812,0.025446407
813,0.021921843
814,0.023779746
815,0.022332257
816,0.023363069
817,0.02456057
818,0.022883376
819,0.02215008
820,0.026083386
821,0.022775281
822,0.023119342
823,0.022252306
824,0.021837926
825,0.023050694
826,0.023937268
827,0.023650914
828,0.023709916
829,0.023399113
830,0.024864506
831,0.022769775
832,0.0240067
833,0.02229902
834,0.021259245
835,0.020566726
836,0.021117982
837,0.023338541
838,0.02471456
839,0.021978473
840,0.022553634
841,0.022226095
842,0.024025736
843,0.022064086
844,0.020777162
845,0.023630334
846,0.021583837
847,0.021140873
848,0.021516435
849,0.023221305
850,0.022865979
851,0.024383776
852,0.023911547
853,0.020737479
854,0.024344487
855,0.023964386
856,0.022618283
857,0.023483135
858,0.021872163
859,0.020221276
860,0.024656465
861,0.024558267
862,0.022985956
863,0.022794021
864,0.021519028
865,0.023703974
866,0.02273392
867,0.021038458
868,0.02330932
869,0.023624185
870,0.025685564
871,0.023876827
872,0.022661187
873,0.020567024
874,0.02098095
